romance,new_character,character_development,magic_kaito,english_airdate,next_conans_hint,original_airdate,episode_title,japanese_episode_number,characters_pasts,black_organization,manga_source,fbi,english_episode_number
yes,no,no,no,,Insurance card,"February 12, 2001",And Then There Were No Mermaids (The Resolution),224,no,no,V28 - F6~10,no,-
no,no,no,no,,Palm reading,"February 19, 2001",The Secret of the High Sales,225,no,no,TV Original,no,-
no,yes,yes,no,,Game character,"February 26, 2001",The Battle Game Trap (Part 1),226,no,no,V27 - F7~9,no,-
no,no,yes,no,,Shoes,"March 5, 2001",The Battle Game Trap (Part 2),227,no,no,V27 - F7~9,no,-
yes,no,no,no,,Cupboard,"March 12, 2001",The Murderous Pottery Class (Part 1),228,no,no,V30 - F10,no,-
yes,no,no,no,,Necktie pin,"March 19, 2001",The Murderous Pottery Class (Part 2),229,no,no,V30 - F10,no,-
no,yes,yes,no,,Message,"April 16, 2001",The Mysterious Passenger (Part 1),230,yes,yes,V29 - F3~5,no,-
yes,no,yes,no,,Rearview mirror,"April 23, 2001",The Mysterious Passenger (Part 2),231,no,yes,V29 - F3~5,no,-
no,no,no,no,,Sandal,"May 7, 2001",The Falling from the Condo Case,232,no,no,TV Original,no,-
no,no,yes,no,,Clock sound,"May 14, 2001",The Evidence That Didn't Disappear (Part 1),233,no,no,V29 - F6~8,no,-
no,no,no,no,,Traces of zabuton cushions,"May 21, 2001",The Evidence That Didn't Disappear (Part 2),234,no,no,V29 - F6~8,no,-
no,no,no,no,,Smashed wine,"May 28, 2001",The Locked Wine Cellar,235,no,no,TV Original,no,-
no,no,no,no,,Car key,"June 4, 2001",The Nanki Shirahama Mystery Tour (Part 1),236,no,no,TV Original,no,-
no,no,no,no,,Cosmetics,"June 11, 2001",The Nanki Shirahama Mystery Tour (Part 2),237,no,no,TV Original,no,-
yes,no,yes,no,,Sushi,"June 18, 2001","The 3 ""K""s of Osaka Case (Part 1)",238,yes,no,V29 - F9~11,no,-
no,no,yes,no,,Gunpowder smoke reaction,"June 25, 2001","The 3 ""K""s of Osaka Case (Part 2)",239,no,no,V29 - F9~11,no,-
yes,no,yes,no,,Vehicle restroom,"July 2, 2001",The Shinkansen Transport Case (Part 1),240,no,no,V30 - F1~3,no,-
yes,no,no,no,,Newspaper,"July 9, 2001",The Shinkansen Transport Case (Part 2),241,no,no,V30 - F1~3,no,-
no,no,yes,no,,"Red, white, and blue","July 16, 2001",Boy Genta's Misfortune,242,no,no,V30 - F8~9,no,-
no,no,no,no,,Cellphone,"July 23, 2001",Kogoro Mouri's Imposter (Part 1),243,no,no,V31 - F2~4,no,-
no,no,no,no,,Ceiling light,"July 30, 2001",Kogoro Mouri's Imposter (Part 2),244,no,no,V31 - F2~4,no,-
no,no,no,no,,Rotation,"August 6, 2001",The Gunshot at the Sunflower Estate,245,no,no,TV Original,no,-
yes,no,yes,no,,Cellphone number,"August 13, 2001",The Mystery in the Net (Part 1),246,no,no,V31 - F5~7,no,-
no,no,yes,no,,Boat in the sand,"August 20, 2001",The Mystery in the Net (Part 2),247,no,no,V31 - F5~7,no,-
no,no,no,no,,Ceramics' clay,"August 27, 2001",The Alibi of the Soothing Forest,248,no,no,TV Original,no,-
no,yes,no,no,,Autograph square,"September 3, 2001",The Celebrities' Secret (Part 1),249,no,no,V32 - F5~7,no,-
yes,no,no,no,,Gloves with holes in them,"September 10, 2001",The Celebrities' Secret (Part 2),250,no,no,V32 - F5~7,no,-
no,no,no,no,,Horseshoes,"September 17, 2001",The Tragedy at the OK Corral,251,no,no,TV Original,no,-
no,no,no,no,,Silhouette,"October 8, 2001",The Kidnapper in the Picture,252,no,no,TV Original,no,-
yes,no,yes,no,,Sunglasses,"October 15, 2001",Metropolitan Police Detective Love Story 4 (Part 1),253,no,no,V32 - F11,no,-
yes,no,yes,no,,Wristwatch,"October 22, 2001",Metropolitan Police Detective Love Story 4 (Part 2),254,no,no,V32 - F11,no,-
yes,no,no,no,,Japanese maple,"October 29, 2001",The 14th Round of the Matsue Tamatsukuri Linked Verse Contest (Part 1),255,no,no,TV Original,no,-
no,no,no,no,,Hokku,"November 5, 2001",The 14th Round of the Matsue Tamatsukuri Linked Verse Contest (Part 2),256,no,no,TV Original,no,-
no,no,no,no,,Offertory box,"November 12, 2001",The Mysterious Punishment From Heaven,257,no,no,TV Original,no,-
no,yes,yes,no,,Strap,"November 19, 2001",The Man from Chicago (Part 1),258,no,no,V32 - F8~10,no,-
no,no,yes,no,,P and A,"November 26, 2001",The Man from Chicago (Part 2),259,no,no,V32 - F8~10,no,-
no,no,no,no,,Fish scale,"December 3, 2001",The Shaking Restaurant,260,no,no,TV Original,no,-
no,no,no,no,,Footprints,"December 10, 2001",The Fearful Legend of the Snowy Night (Part 1),261,no,no,TV Original,no,-
no,no,no,no,,Gash,"December 17, 2001",The Fearful Legend of the Snowy Night (Part 2),262,no,no,TV Original,no,-
yes,no,yes,no,,Umbrella,"January 7, 2002",The Osaka Double Mystery - The Naniwa Swordsman and Toyotomi's Castle (2 Hour Special),263,no,no,V31 - F8,no,-
yes,yes,yes,no,,Cellphone,"January 14, 2002",Courtroom Confrontation: Kisaki vs. Kogoro (Part 1),264,no,no,TV Original,no,-
yes,no,yes,no,,Matches,"January 21, 2002",Courtroom Confrontation: Kisaki vs. Kogoro (Part 2),265,no,no,TV Original,no,-
yes,no,no,no,,Chocolate,"January 28, 2002",The Truth Behind Valentine's (The Case),266,no,no,V33 - F3~6,no,-
no,no,no,no,,Playing ball,"February 4, 2002",The Truth Behind Valentine's (The Deduction),267,no,no,V33 - F3~6,no,-
yes,no,no,no,,Completely black photo,"February 11, 2002",The Truth Behind Valentine's (The Resolution),268,no,no,V33 - F3~6,no,-
no,no,yes,no,,Wristwatch,"February 18, 2002",The Forgotten Memento from the Crime (Part 1),269,no,no,V33 - F7~9,no,-
no,no,yes,no,,Sandwich,"March 4, 2002",The Forgotten Memento from the Crime (Part 2),270,no,no,V33 - F7~9,no,-
yes,no,yes,no,,,"March 11, 2002",The Secret Rushed Omission (Part 1),271,no,no,V33 - F10,no,-
yes,no,no,no,,Square,"March 18, 2002",The Secret Rushed Omission (Part 2),272,no,yes,V33 - F10,no,-
no,no,no,no,,Cat,"April 8, 2002",Riddle Granny Disappearance Case,273,no,no,TV Original,no,-
no,no,no,no,,TV screen,"April 15, 2002",The Truth of the Haunted House (Part 1),274,no,no,V35 - F5~7,no,-
no,no,no,no,,Beaker,"April 22, 2002",The Truth of the Haunted House (Part 2),275,no,no,V35 - F5~7,no,-
no,no,no,no,,All-you-can-eat,"May 6, 2002",The Policeman's Missing Notebook Case,276,no,no,TV Original,no,-
no,no,yes,no,,Curtain,"May 13, 2002",English Teacher vs. Great Western Detective (Part 1),277,no,no,V34 - F2~4,no,-
yes,no,yes,no,,Electro-magnetic wave,"May 20, 2002",English Teacher vs. Great Western Detective (Part 2),278,no,no,V34 - F2~4,no,-
no,yes,yes,no,,Ticket,"May 27, 2002",Hooligan's Labyrinth (Part 1),279,no,no,V34 - F5~7,no,-
yes,no,yes,no,,Uniform,"June 3, 2002",Hooligan's Labyrinth (Part 2),280,no,no,V34 - F5~7,no,-
no,no,no,no,,Kamen Yaiba's special move,"June 10, 2002",The Small Eye-Witnesses,281,no,no,TV Original,no,-
no,no,no,no,,Beautiful rock garden,"June 17, 2002",The Mystery of the Water-Flowing Stone Garden (Part 1),282,no,no,TV Original,no,-
no,no,no,no,,Draining of the water,"June 24, 2002",The Mystery of the Water-Flowing Stone Garden (Part 2),283,no,no,TV Original,no,-
no,yes,yes,no,,Circular table,"July 1, 2002",Chinatown Deja Vu in the Rain (Part 1),284,yes,no,V34 - F8~10,no,-
yes,no,yes,no,,Wet towel,"July 8, 2002",Chinatown Deja Vu in the Rain (Part 2),285,yes,no,V34 - F8~10,no,-
no,no,no,no,,Costumes,"July 15, 2002",Shinichi Kudo's New York Case (The Case),286,yes,no,V34 - F11,no,-
yes,no,no,no,,Feather,"July 22, 2002",Shinichi Kudo's New York Case (The Deduction),287,no,no,V34 - F11,no,-
yes,no,yes,no,,Theater basement,"July 29, 2002",Shinichi Kudo's New York Case (The Resolution),288,no,no,V34 - F11,yes,-
no,yes,yes,no,,Lemon scent,"August 5, 2002",Mitsuhiko's Mystifying Forest (Part 1),289,no,no,V35 - F8~10,no,-
no,no,no,no,,Historical names,"August 12, 2002",Mitsuhiko's Mystifying Forest (Part 2),290,no,yes,V35 - F8~10,no,-
no,no,no,no,,Note in the sand,"August 19, 2002",Solitary Island of the Princess and the Dragon King's Palace (The Case),291,no,no,V35 - F11,no,-
no,no,no,no,,Automatically controlled plane,"August 26, 2002",Solitary Island of the Princess and the Dragon King's Palace (The Pursuit),292,no,no,V35 - F11,no,-
no,no,no,no,,Castle,"September 2, 2002",Solitary Island of the Princess and the Dragon King's Palace (The Resolution),293,no,no,V35 - F11,no,-
no,no,no,no,,E-mail,"September 9, 2002",The Smash of Determination and Love (Part 1),294,no,no,TV Original,no,-
no,no,no,no,,Awards ceremony,"September 16, 2002",The Smash of Determination and Love (Part 2),295,no,no,TV Original,no,-
no,no,no,no,,Carbon make fishing rod,"October 14, 2002",Houseboat Fishing Shock,296,no,no,TV Original,no,-
no,no,no,no,,Decorative clock,"October 21, 2002",Courtroom Confrontation II: Kisaki vs. Kujo (Part 1),297,no,no,TV Original,no,-
no,no,no,no,,Glasses,"October 28, 2002",Courtroom Confrontation II: Kisaki vs. Kujo (Part 2),298,no,no,TV Original,no,-
no,no,no,no,,Eyesight,"November 4, 2002",The Kanmon Strait of Friendship and Murderous Intent (Part 1),299,no,no,TV Original,no,-
no,no,no,no,,Palm mark,"November 18, 2002",The Kanmon Strait of Friendship and Murderous Intent (Part 2),300,no,no,TV Original,no,-
yes,yes,no,no,,Video camera,"November 25, 2002",Parade of Malice and Saint (Part 1),301,no,no,V36 - F5~7,no,-
yes,no,no,no,,Mail truck,"December 2, 2002",Parade of Malice and Saint (Part 2),302,no,no,V36 - F5~7,no,-
no,no,no,no,,Recycling,"December 9, 2002",The Victim Who Came Back,303,no,no,TV Original,no,-
yes,no,yes,no,,Map symbol,"January 6, 2003",The Trembling Police Headquarters: 12 Million Hostages (2 Hour Special),304,yes,no,V36 - F8,no,-
no,no,no,no,,Door glass,"January 13, 2003",The Unseen Suspect (Part 1),305,no,no,V37 - F2~4,no,-
no,no,no,no,,Lighter,"January 20, 2003",The Unseen Suspect (Part 2),306,no,no,V37 - F2~4,no,-
no,yes,no,no,,"Shogi, Chess, and Go","January 27, 2003",On the Trail of a Silent Witness (Part 1),307,no,yes,V37 - F5~7,no,-
no,no,no,no,,Go pieces,"February 3, 2003",On the Trail of a Silent Witness (Part 2),308,no,yes,V37 - F5~7,yes,-
no,no,yes,no,,Diary,"February 10, 2003",Contact with the Black Organization (The Negotiation),309,no,yes,V37 - F8,no,-
no,no,no,no,,System-soft,"February 17, 2003",Contact with the Black Organization (The Pursuit),310,no,yes,V37 - F8,no,-
no,no,no,no,,Coin locker,"February 24, 2003",Contact with the Black Organization (Desperation),311,no,yes,V37 - F8,no,-
no,yes,no,no,,The Emperor and doll display,"March 3, 2003",Festival Dolls Dyed in the Setting Sun (Part 1),312,no,no,V38 - F2~4,no,-
no,no,no,no,,Stairs,"March 10, 2003",Festival Dolls Dyed in the Setting Sun (Part 2),313,no,no,V38 - F2~4,no,-
no,no,no,no,,A Japanese White-Eye's nest,"March 17, 2003",The Scenic Lookout with the Broken Fence,314,no,no,TV Original,no,-
no,no,no,no,,Nightingale,"April 14, 2003",Place Exposed to the Sun,315,no,no,TV Original,no,-
no,no,no,no,,Hidden camera,"April 21, 2003",The Sullied Masked Hero (Part 1),316,no,no,V38 - F5~7,no,-
no,no,no,no,,Mask,"April 28, 2003",The Sullied Masked Hero (Part 2),317,no,no,V38 - F5~7,no,-
no,no,no,no,,Brake,"May 5, 2003",The Lucky Cigar Case (Part 1),318,no,no,TV Original,no,-
no,no,no,no,,Cigar,"May 12, 2003",The Lucky Cigar Case (Part 2),319,no,no,TV Original,no,-
no,no,no,no,,Answering machine,"May 19, 2003",The Art of Ninja Alibi Craft,320,no,no,TV Original,no,-
yes,no,no,no,,Honeybee mark,"May 26, 2003",The Kidnapper's Disappearing Getaway Car (Part 1),321,no,no,TV Original,no,-
no,no,no,no,,PET bottle,"June 2, 2003",The Kidnapper's Disappearing Getaway Car (Part 2),322,no,no,TV Original,no,-
no,no,no,no,,The number 9,"June 9, 2003",Heiji Hattori's Desperate Situation! (Part 1),323,no,no,V38 - F8~10,no,-
yes,no,no,no,,Die (object),"June 16, 2003",Heiji Hattori's Desperate Situation! (Part 2),324,no,no,V38 - F8~10,no,-
no,yes,yes,no,,123,"June 23, 2003",The Red Horse within the Flames (The Case),325,no,no,V39 - F1~5,no,-
no,no,no,no,,Guan Yu,"June 30, 2003",The Red Horse within the Flames (The Investigation),326,no,no,V39 - F1~5,no,-
no,no,no,no,,Key holder,"July 7, 2003",The Red Horse within the Flames (The Resolution),327,no,no,V39 - F1~5,no,-
no,no,no,no,,Wine glass,"July 14, 2003",The Birthday Wine Mystery,328,no,no,TV Original,no,-
no,yes,yes,no,,Sunroof,"July 28, 2003",A Friendship That Can't Be Bought (Part 1),329,no,yes,V39 - F6~8,no,-
no,no,yes,no,,Belt,"August 4, 2003",A Friendship That Can't Be Bought (Part 2),330,no,no,V39 - F6~8,no,-
no,no,no,no,,Curry rice,"August 11, 2003",The Suspicious Spicy Curry (Part 1),331,no,no,V40 - F4~6,no,-
no,no,no,no,,Electric cable,"August 18, 2003",The Suspicious Spicy Curry (Part 2),332,no,no,V40 - F4~6,no,-
no,no,no,no,,Ran's mother and Shinichi's mother,"August 25, 2003",The Similar Princesses (Part 1),333,yes,no,V40 - F10,no,-
yes,no,no,no,,Bookmark,"September 1, 2003",The Similar Princesses (Part 2),334,no,no,V40 - F10,no,-
yes,no,no,no,,Messy room,"September 8, 2003",Secret of the Tohto Film Development Studio (Part 1),335,no,no,V41 - F4~6,no,-
no,no,yes,no,,Fluorescent tape,"September 15, 2003",Secret of the Tohto Film Development Studio (Part 2),336,no,no,V41 - F4~6,no,-
no,no,no,no,,N/A,"September 22, 2003",Moonlight Sonata Murder Case (1 Hour Special) (Rerun),11,no,no,V7 - F2~7,no,-
no,yes,no,yes,,N/A,"October 6, 2003",The Gathering of the Detectives! Shinichi Kudo vs. Kaitou Kid (2 Hour Special) (Rerun),219,yes,no,MKV4 - C3~C4,no,-
no,no,no,no,,Receipt,"October 13, 2003",Hidden Circumstances of the Falling Incident,337,no,no,TV Original,no,-
no,no,no,no,,Reel,"October 20, 2003",The Four Porsches (Part 1),338,no,yes,V41 - F7~9,yes,-
no,no,yes,no,,Power window,"October 27, 2003",The Four Porsches (Part 2),339,no,yes,V41 - F7~9,yes,-
no,no,no,no,,Haibara's older sister Akemi Miyano,"November 3, 2003",Hidden Bathroom Secret (Part 1),340,no,no,V41 - F10,no,-
no,no,yes,no,,Toilet fixtures,"November 10, 2003",Hidden Bathroom Secret (Part 2),341,no,yes,V41 - F10,no,-
yes,no,no,no,,Wedding ring,"November 17, 2003",The Bride of Huis ten Bosch (1 Hour Special),342,no,no,TV Original,no,-
no,yes,yes,no,,Keeping things tidy and in order,"December 1, 2003",The Convenience Store Trap (Part 1),343,no,no,V42 - F2~4,no,-
no,no,yes,no,,Convenience store bathroom,"December 8, 2003",The Convenience Store Trap (Part 2),344,no,no,V42 - F2~4,no,-
no,no,no,yes,,N/A,2004,Time Travel of the Silver Sky (TV Special),S1,no,no,TV Original,no,-
no,yes,yes,no,,Tarot card,"January 5, 2004",Head-to-Head Match with the Black Organization: A Dual Mystery on a Full Moon Night (2.5 Hour Special),345,yes,yes,V42 - F5~10,yes,-
no,no,no,no,,Emblem,"January 12, 2004",Find the Buttock's Mark (Part 1),346,no,no,V42 - F11,no,-
no,no,yes,no,,Key cylinder,"January 19, 2004",Find the Buttock's Mark (Part 2),347,no,no,V42 - F11,no,-
no,no,no,no,,Seal,"January 26, 2004","Love, Ghosts, and World Heritage (Part 1)",348,no,no,TV Original,no,-
no,no,no,no,,Magnifying glass,"February 2, 2004","Love, Ghosts, and World Heritage (Part 2)",349,no,no,TV Original,no,-
no,no,no,no,,Telephone number,"February 9, 2004",The Forgotten Cell Phone (Part 1),350,no,no,V43 - F3~5,no,-
no,no,no,no,,A loud sound,"February 16, 2004",The Forgotten Cell Phone (Part 2),351,no,no,V43 - F3~5,no,-
no,no,no,no,,Track,"February 23, 2004",The Fishing Tournament Tragedy (Part 1),352,no,no,TV Original,no,-
no,no,no,no,,Latest fishing rod model,"March 1, 2004",The Fishing Tournament Tragedy (Part 2),353,no,no,TV Original,no,-
yes,no,no,no,,Facial mole,"March 8, 2004",A Small Client (Part 1),354,no,no,V39 - F9~11,no,-
no,no,no,no,,Video tapes,"March 15, 2004",A Small Client (Part 2),355,no,no,V39 - F9~11,no,-
no,yes,no,yes,,Wind,"April 12, 2004",Kaitou Kid's Miraculous Midair Walk (1 Hour Special),356,no,no,V44 - F7~10,no,-
yes,no,no,no,,Two-person portion meal,"April 26, 2004",Sweetheart is an Illusion of Spring,357,no,no,TV Original,no,-
yes,yes,no,no,,Daypack,"May 3, 2004",Metropolitan Police Detective Love Story 5 (Part 1),358,no,no,V40 - F1~3,no,-
no,no,no,no,,Sports player,"May 10, 2004",Metropolitan Police Detective Love Story 5 (Part 2),359,no,no,V40 - F1~3,no,-
no,no,no,no,,Mobile phone strap,"May 17, 2004",A Mysterious Spring Beetle,360,no,no,TV Original,no,-
no,yes,yes,no,,Deck,"May 24, 2004",Teitan High School's Ghost Story (Part 1),361,no,no,V44 - F11,no,-
no,no,no,no,,Umbrella,"May 31, 2004",Teitan High School's Ghost Story (Part 2),362,no,no,V44 - F11,no,-
no,no,no,no,,Lottery ticket,"June 7, 2004",The City Crows,363,no,no,TV Original,no,-
no,no,no,no,,Twins,"June 14, 2004",The Synchronicity Case (Part 1),364,no,no,TV Original,no,-
no,no,no,no,,Kogoro's investigation,"June 21, 2004",The Synchronicity Case (Part 2),365,no,no,TV Original,no,-
no,no,yes,no,,N/A,"June 28, 2004",The Mist Goblin Legend Murder Case (1 Hour Special) (Rerun),52,no,no,V11 - F8~10,no,
no,yes,yes,no,,Fishing vocabulary,"July 5, 2004",The Tragedy of the Pier in Plain Sight (Part 1),366,no,no,V45 - F3~5,no,-
no,no,no,no,,Celebration,"July 12, 2004",The Tragedy of the Pier in Plain Sight (Part 2),367,no,no,V45 - F3~5,no,-
no,yes,no,no,,N/A,"July 19, 2004",The Naniwa Serial Murder Case (1 Hour Special) (Rerun),118,no,no,V19 - F5~8,no,-
no,no,no,no,,Chocolate cake,"July 26, 2004",The Candy House the Witch Lives In,368,no,no,TV Original,no,-
no,no,no,no,,Gossip,"August 2, 2004",A Lucky Man's Suspense,369,no,no,TV Original,no,-
no,no,no,no,,Nameplate,"August 9, 2004",Running Away in a Game,370,no,no,TV Original,no,-
no,no,no,no,,Tennis ball,"August 23, 2004",A Course Without Protest (Part 1),371,no,no,V45 - F6~8,no,-
no,no,no,no,,Chart,"August 30, 2004",A Course Without Protest (Part 2),372,no,no,V45 - F6~8,no,-
no,no,no,no,,Telephone,"September 6, 2004",Deadly Poisonous Spider Trap,373,no,no,TV Original,no,-
no,no,no,no,,Necklace,"September 20, 2004",A Cursed Mask Coldly Laughs (1 Hour Special) (Rerun),184,no,no,TV Original,no,-
yes,no,yes,no,,Map symbol,"October 4, 2004",The Trembling Police Headquarters: 12 Million Hostages (2 Hour Special) (Rerun),304,yes,no,V36 - F8,no,-
no,no,no,no,,Tobacco,"October 18, 2004",A Code of Stars and Tobacco (Part 1),374,no,no,V45 - F9,no,-
no,no,no,no,,Initial,"October 25, 2004",A Code of Stars and Tobacco (Part 2),375,no,no,V45 - F9,no,-
no,no,no,no,,Tent,"November 1, 2004",The Time Limit is 15:00!,376,no,no,TV Original,no,-
no,no,no,no,,Mirror image,"November 8, 2004",Momotarou Mystery Solving Tour (Part 1),377,no,no,TV Original,no,-
no,no,no,no,,Left-handedness,"November 15, 2004",Momotarou Mystery Solving Tour (Part 2),378,no,no,TV Original,no,-
no,no,no,no,,Open air bath,"November 22, 2004",The Case of the Furisode at the Hidden Hot Spring on a Snowy Night (Part 1),379,no,no,TV Original,no,-
no,no,no,no,,Obi sash,"November 29, 2004",The Case of the Furisode at the Hidden Hot Spring on a Snowy Night (Part 2),380,no,no,TV Original,no,-
no,no,no,no,,4 building blocks,"December 6, 2004",Which One's Deduction Show (Part 1),381,no,no,V43 - F6~9,no,-
yes,no,no,no,,Calendar,"December 13, 2004",Which One's Deduction Show (Part 2),382,no,no,V43 - F6~9,no,-
yes,no,no,no,,Retired uniform number,"December 20, 2004",Miracle at Koshien Ball Park! The Defiants Face the Dark Demon (2 Hour Special),383,yes,no,V43 - F10,no,-
no,no,no,no,,Service ticket,"January 17, 2005",The Target is Kogoro Mouri,384,no,no,TV Original,no,-
no,no,no,no,,Requiem,"January 24, 2005",The Dissonance of the Stradivarius (Prelude),385,no,no,V46 - F2~6,no,-
no,no,no,no,,Initial,"January 31, 2005",The Dissonance of the Stradivarius (Interlude),386,no,no,V46 - F2~6,no,-
no,no,no,no,,Perfect pitch,"February 7, 2005",The Dissonance of the Stradivarius (Postlude),387,no,yes,V46 - F2~6,no,-
no,no,no,no,,Obsession with sake brewing,"February 14, 2005",Kogoro Gets Drunk in Satsuma (Part 1),388,no,no,TV Original,no,-
no,no,no,no,,Physical examination,"February 21, 2005",Kogoro Gets Drunk in Satsuma (Part 2),389,no,no,TV Original,no,-
no,yes,no,no,,News,"February 28, 2005",Metropolitan Police Detective Love Story 6 (Part 1),390,no,no,V44 - F4~6,no,-
no,no,no,no,,Clock,"March 7, 2005",Metropolitan Police Detective Love Story 6 (Part 2),391,no,no,V44 - F4~6,no,-
no,no,no,no,,Chandelier,"March 14, 2005",The Mysterious Height Difference of 20cm,392,no,no,TV Original,no,-
no,no,no,no,,Oil,"March 21, 2005",A Kidnapping Case... So It Seems,393,no,no,TV Original,no,-
no,no,no,yes,,Magatama stone,"April 18, 2005",Big Adventure in the Eccentric Mansion (The Seal),394,no,yes,V46 - F7~10,no,-
no,no,no,yes,,Three sacred treasures,"April 25, 2005",Big Adventure in the Eccentric Mansion (The Mechanism),395,no,no,V46 - F7~10,no,-
no,no,no,yes,,Samizu Kichiemon,"May 2, 2005",Big Adventure in the Eccentric Mansion (The Resolution),396,no,no,V46 - F7~10,no,-
no,no,no,no,,Flour,"May 9, 2005","Hot, Bitter, Sweet Soup",397,no,no,TV Original,no,-
no,no,no,no,,Cell phone lock,"May 16, 2005",The Strange Family's Request (Part 1),398,no,no,V46 - F11,no,-
no,no,no,no,,The event from 12 years ago,"May 23, 2005",The Strange Family's Request (Part 2),399,no,no,V46 - F11,no,-
no,no,yes,no,,Car's number,"May 30, 2005",Ran's Suspicions,400,yes,no,V47 - F4,no,-
no,no,no,no,,Brooch,"June 6, 2005",A Jewel Thief Caught Red-Handed (Part 1),401,no,no,V47 - F5~7,no,-
no,no,no,no,,Rain,"June 13, 2005",A Jewel Thief Caught Red-Handed (Part 2),402,no,no,V47 - F5~7,no,-
no,no,no,no,,Violent ox,"June 20, 2005",The Mysterious Angel's Mansion (Part 1),403,no,no,TV Original,no,-
no,no,no,no,,Direction,"June 27, 2005",The Mysterious Angel's Mansion (Part 2),404,no,no,TV Original,no,-
no,no,no,no,,Victory sign,"July 4, 2005",The Man Who Called for an Ambulance,405,no,no,TV Original,no,-
yes,no,no,no,,Sleight of hand info,"July 11, 2005",Conan and Heiji's Deduction Magic (The Trick),406,no,no,V47 - F8~11,no,-
no,no,no,no,,Narrow corridor,"July 18, 2005",Conan and Heiji's Deduction Magic (The Mansion),407,no,no,V47 - F8~11,no,-
no,no,yes,no,,Shadow,"August 1, 2005",Conan and Heiji's Deduction Magic (The Resolution),408,no,no,V47 - F8~11,no,-
no,no,no,no,,The Tale of the Bamboo-Cutter,"August 8, 2005",The Simultaneous Stage Advance and Kidnapping (Part 1),409,no,no,TV Original,no,-
no,no,no,no,,Phone call from the criminal,"August 15, 2005",The Simultaneous Stage Advance and Kidnapping (Part 2),410,no,no,TV Original,no,-
no,no,no,no,,Vertical and horizontal,"August 22, 2005",The Shinto Shrine Torii's Surprising Code (Part 1),411,no,no,V48 - F1~3,no,-
no,no,no,no,,Top and bottom,"August 29, 2005",The Shinto Shrine Torii's Surprising Code (Part 2),412,no,no,V48 - F1~3,no,-
no,no,no,no,,The Two of Cups,"September 5, 2005",The Half Completed Crime Mystery,413,no,no,TV Original,no,-
no,no,no,no,,Soy sauce,"September 12, 2005",The Detective Boys' Bluebird Chase,414,no,no,TV Original,no,-
yes,no,yes,no,,N/A,"September 26, 2005",The Locked Room in the Sky: Shinichi Kudo's First Case (1 Hour Special) (Rerun),162,yes,no,V21 - F4~7,no,-
no,no,no,no,,A habit,"October 10, 2005",The Evil Spirit Appears on An Unlucky Day (The Case),415,no,no,V48 - F4~8,no,-
no,no,no,no,,Fingerprint,"October 17, 2005",The Evil Spirit Appears on An Unlucky Day (The Suspicion),416,no,no,V48 - F4~8,no,-
no,no,no,no,,Siblings,"October 24, 2005",The Evil Spirit Appears on An Unlucky Day (The Resolution),417,no,no,V48 - F4~8,no,-
no,no,no,no,,Nameplate,"October 31, 2005",Home of Beika's Grenier,418,no,no,TV Original,no,-
no,no,no,no,,Sight-seeing area,"November 7, 2005",Sword of the Eight-Headed Serpent (Part 1),419,no,no,TV Original,no,-
no,no,no,no,,Evidence of a lie,"November 14, 2005",Sword of the Eight-Headed Serpent (Part 2),420,no,no,TV Original,no,-
no,no,no,no,,Promise from 10 years ago,"November 21, 2005",Gingko-Colored First Love (Part 1),421,yes,no,V40 - F7~9,no,-
no,yes,no,no,,Blond hair,"November 28, 2005",Gingko-Colored First Love (Part 2),422,no,no,V40 - F7~9,no,-
no,no,no,no,,Olive leaf,"December 5, 2005",The Detective Boys and the Four Caterpillar Brothers,423,no,no,TV Original,no,-
no,no,no,no,,Stew,"December 19, 2005",The Photo Mail from the Clown,424,no,no,TV Original,no,-
no,yes,no,no,,Transmitter and listening device,"January 9, 2006",Black Impact! The Moment the Black Organization Reaches Out (2.5 Hour Special),425,no,yes,V48 - F9,yes,-
yes,no,no,no,,Fencing stick,"January 16, 2006",Love Letter to Ran,426,no,no,TV Original,no,-
no,no,no,no,,Ai Haibara lookalike,"January 23, 2006",Super Secret of the Road to School (Part 1),427,no,no,V49 - F5~7,no,-
no,no,no,no,,Allergic diathesis,"January 30, 2006",Super Secret of the Road to School (Part 2),428,no,yes,V49 - F5~7,no,-
no,yes,no,no,,Sleeping posture,"February 6, 2006",Two People Who Can't Return (Part 1),429,no,no,V49 - F8~10,no,-
no,no,no,no,,Adhesive plaster,"February 13, 2006",Two People Who Can't Return (Part 2),430,no,no,V49 - F8~10,no,-
no,no,no,no,,Rare card,"February 20, 2006",Metropolitan Police Detective Love Story 7 (Part 1),431,no,no,V50 - F1~4,no,-
yes,no,no,no,,Perfect game,"February 27, 2006",Metropolitan Police Detective Love Story 7 (Part 2),432,no,no,V50 - F1~4,no,-
no,no,no,no,,Chewing gum,"March 6, 2006",Conan: A Strange Child,433,no,no,TV Original,no,-
no,no,no,no,,Toothpaste for dogs,"April 10, 2006",The Great Dog Coeur's Triumph,434,no,no,TV Original,no,-
no,no,no,no,,Hay fever,"April 17, 2006",Information Gathered About the Detective Boys (Part 1),435,no,no,V50 - F5~7,no,-
no,no,no,no,,Railway crossing sound,"April 24, 2006",Information Gathered About the Detective Boys (Part 2),436,no,no,V50 - F5~7,no,-
no,yes,yes,yes,,Pearl,"May 1, 2006",Conan vs. Kaitou Kid (1 Hour Special) (Rerun),76,no,no,V16 - F6~9,no,-
